series_slug,series_title,track,unit_number,unit_type,duration_target,source_category,title_ar,source_reference,verse_surah,verse_ayah_from,verse_ayah_to,hadith_collection,hadith_number,hadith_grade,adhkar_ref,figure_ref,reviewer_id,review_version,status
noor-qalbi,نور قلبي,3-5,1,audio_card+illustrated_unit,1:30,quran,الحمد وطلب الهداية,المصحف الرسمي؛ تفسير ميسر معتمد لسورة الفاتحة 1:1–7,1,1,7,,,,,,,draft-v1,review_sharia
noor-qalbi,نور قلبي,3-5,2,audio_card+illustrated_unit,1:30,quran,الله الواحد,المصحف الرسمي؛ تفسير ميسر معتمد لسورة الإخلاص 112:1–4,112,1,4,,,,,,,draft-v1,review_sharia
noor-qalbi,نور قلبي,3-5,3,audio_card+illustrated_unit,1:45,quran,أطلب الحماية من الشر,المصحف الرسمي؛ تفسير ميسر معتمد لسورة الفلق 113:1–5,113,1,5,,,,,,,draft-v1,review_sharia
noor-qalbi,نور قلبي,3-5,4,audio_card+illustrated_unit,1:45,quran,أستعيذ من الوسوسة,المصحف الرسمي؛ تفسير ميسر معتمد لسورة الناس 114:1–6,114,1,6,,,,,,,draft-v1,review_sharia
preschool-adhkar-manners-prayer,أذكاري وآدابي وصلاتي,3-5,1,audio_card,0:45-1:15,adhkar,أبدأ طعامي باسم الله,سنن أبي داود 3767؛ جامع الترمذي 1858، حديث حسن صحيح عند الترمذي.,,,,,,,سنن أبي داود 3767؛ جامع الترمذي 1858، حديث حسن صحيح عند الترمذي.,,,draft-v1,review_sharia
preschool-adhkar-manners-prayer,أذكاري وآدابي وصلاتي,3-5,2,audio_card,0:45-1:15,adhkar,أحمد الله بعد الطعام,سنن أبي داود 4023؛ جامع الترمذي 3458، ويُراجع اللفظ والدرجة.,,,,,,,سنن أبي داود 4023؛ جامع الترمذي 3458، ويُراجع اللفظ والدرجة.,,,draft-v1,review_sharia
preschool-adhkar-manners-prayer,أذكاري وآدابي وصلاتي,3-5,3,audio_card,0:45-1:15,adhkar,ذكري قبل النوم,صحيح البخاري 6324، كتاب الدعوات.,,,,,,,صحيح البخاري 6324، كتاب الدعوات.,,,draft-v1,review_sharia
preschool-adhkar-manners-prayer,أذكاري وآدابي وصلاتي,3-5,4,audio_card,0:45-1:15,adhkar,ذكري عند الاستيقاظ,صحيح البخاري 6325، كتاب الدعوات.,,,,,,,صحيح البخاري 6325، كتاب الدعوات.,,,draft-v1,review_sharia
preschool-adhkar-manners-prayer,أذكاري وآدابي وصلاتي,3-5,5,audio_card,0:45-1:15,adhkar,قبل دخول الخلاء,صحيح البخاري 142؛ صحيح مسلم 375.,,,,,,,صحيح البخاري 142؛ صحيح مسلم 375.,,,draft-v1,review_sharia
preschool-adhkar-manners-prayer,أذكاري وآدابي وصلاتي,3-5,6,audio_card,0:45-1:15,adhkar,بعد الخروج من الخلاء,سنن أبي داود 30؛ جامع الترمذي 7، ويُراجع حكم الحديث.,,,,,,,سنن أبي داود 30؛ جامع الترمذي 7، ويُراجع حكم الحديث.,,,draft-v1,review_sharia
